y1,y2,region,decay,logratio,var_log_ratio,ratio,ratio_lci,ratio_uci
1980,1981,London,15,0.145524532602714,0.00843641824982698,1.15664610977362,0.966090161701257,1.38478816604298
1980,1982,London,15,0.139082229636204,0.00812696129192426,1.14921859594543,0.963090534905076,1.37131799493488
1980,1983,London,15,-0.00207519311555164,0.00788570901893967,0.99792695860901,0.838514870051717,1.18764526460599
1980,1984,London,15,-0.0509610608835749,0.00814500345440625,0.950315674264657,0.796245941330398,1.13419715426638
1980,1985,London,15,0.00982107803347181,0.00766034871884123,1.00986946308842,0.850677941397717,1.19885127243671
1980,1986,London,15,-0.22243890513654,0.00817656299655104,0.800563915599288,0.670543049242724,0.955796326102353
1980,1987,London,15,-0.171335520947763,0.00767178788791317,0.842538836613216,0.709633739051029,1.00033531685069
1980,1988,London,15,-0.309240772516546,0.00793536958771429,0.734004020753702,0.616414458494915,0.874025414326075
1980,1989,London,15,-0.317740124237265,0.00808639951177489,0.727791899315809,0.610187660388149,0.868062537306597
1980,1990,London,15,-0.239956731128231,0.0073951672671543,0.786661898302975,0.664643717919974,0.931080706183928
1980,1991,London,15,-0.354661716969544,0.0075975184829641,0.701410678409875,0.591259945377527,0.83208230767817
1980,1992,London,15,-0.280704968893088,0.00715479123586203,0.755251125189106,0.639869851311507,0.89143793996589
1980,1993,London,15,-0.350977529695836,0.00739830401098589,0.703999572762423,0.594781787233863,0.833272654084821
1981,1982,London,15,-0.00211510451214262,0.00737623275579303,0.997887130745194,0.843288114977026,1.18082860178102
1981,1983,London,15,-0.094214282277706,0.00728175304676348,0.910087725674304,0.76992339332159,1.07576893442575
1981,1984,London,15,-0.198607251833791,0.0076508336594565,0.81987183326717,0.690704334182359,0.973194737196189
1981,1985,London,15,-0.125233500960634,0.00723651252086295,0.88229086276627,0.746796079568283,1.04236911228947
1981,1986,London,15,-0.36154765737877,0.00771541175249528,0.696597397278406,0.586427736219199,0.827464159562994
1981,1987,London,15,-0.29791393817441,0.00710701677636166,0.742365226305268,0.629301361020552,0.875742789326772
1981,1988,London,15,-0.452057661530768,0.00738655591122009,0.636317477627421,0.537671815607116,0.753061478360974
1981,1989,London,15,-0.464894250076396,0.00737399451245108,0.628201533941383,0.530890119534635,0.743349994142359
1981,1990,London,15,-0.374971941968093,0.00691131198329114,0.687308563046024,0.583966198226282,0.808939048649082
1981,1991,London,15,-0.496245769281187,0.00682670326710918,0.608811995398009,0.517789975671792,0.715834726733774
1981,1992,London,15,-0.461910617555023,0.00664488144319217,0.630078655395816,0.537041814595506,0.739233149441845
1981,1993,London,15,-0.497454181714405,0.0069577826298162,0.608076743746367,0.516365055009291,0.716077361738842
1982,1983,London,15,-0.113999244074301,0.00701309653346497,0.892258630363383,0.757194650627394,1.05141453759385
1982,1984,London,15,-0.183119621985006,0.00718467464897107,0.832668544315229,0.705216105088877,0.983155233819656
1982,1985,London,15,-0.105419524557226,0.00656427745044613,0.899946893557432,0.76780747970267,1.05482745692619
1982,1986,London,15,-0.353307934114119,0.0071003836111003,0.702360879198566,0.59543568578327,0.82848713371899
1982,1987,London,15,-0.327639810872659,0.00675500122456508,0.720622533366932,0.613406808857013,0.846578205683439
